glucose,carbs,time,irr
65.5892, 122.045, 1, 0.0168g
77.3347, 111.474, 2, 0.0168g
83.0276, 97.309, 3, 0.0168g
85.9887, 81.1818, 4, 0.0168g
86.2814, 64.7279, 5, 0.0168g
84.3859, 49.3231, 6, 0.0168g
81.0257, 35.9199, 7, 0.0168g
76.9731, 25.0004, 8, 0.0168g
72.8911, 16.6297, 9, 0.0126g
74.5164, 10.5718, 10, 0.00945g
74.7437, 6.42304, 11, 0.0070875g
73.7699, 3.72957, 12, 0.00531562g
71.9596, 2.06968, 13, 0.00398672g
69.729, 1.09767, 14, 0.00299004g
67.4491, 0.556378, 15, 0.00224253g
65.3864, 0.269521, 16, 0.0016819g
63.6876, 0.124779, 17, 0.00126142g
62.3947, 0.0552102, 18, 0.000946067g
61.4772, 0.0233465, 19, 0.00070955g
60.8665, 0.0094352, 20, 0.000532163g
60.4838, 0.00364424, 21, 0.000399122g
60.2572, 0.00134521, 22, 0.000299342g
60.1303, 0.000474567, 23, 0.000224506g
60.0629, 0.000160005, 24, 0.00016838g
60.029, 5.15578e-05, 25, 0.000126285g
60.0127, 1.58775e-05, 26, 9.47135e-05g
60.0053, 4.67301e-06, 27, 7.10351e-05g
60.0021, 1.31443e-06, 28, 5.32764e-05g
60.0008, 3.5335e-07, 29, 3.99573e-05g
60.0003, 9.07817e-08, 30, 2.9968e-05g
60.0001, 2.22904e-08, 31, 2.2476e-05g
60, 5.23077e-09, 32, 1.6857e-05g
60, 1.17311e-09, 33, 1.26427e-05g
60, 2.51442e-10, 34, 9.48205e-06g
60, 5.15068e-11, 35, 7.11154e-06g
60, 1.00836e-11, 36, 5.33365e-06g
60, 1.88667e-12, 37, 4.00024e-06g
60, 3.37366e-13, 38, 3.00018e-06g
60, 5.76545e-14, 39, 2.25013e-06g
60, 9.41655e-15, 40, 1.6876e-06g
60, 1.46986e-15, 41, 1.2657e-06g
60, 2.19274e-16, 42, 9.49275e-07g
60, 3.12626e-17, 43, 7.11957e-07g
60, 4.25981e-18, 44, 5.33967e-07g
60, 5.54729e-19, 45, 4.00476e-07g
60, 6.90395e-20, 46, 3.00357e-07g
60, 8.21186e-21, 47, 2.25267e-07g
60, 9.33494e-22, 48, 1.68951e-07g
60, 1.01416e-22, 49, 1.26713e-07g
60, 1.05301e-23, 50, 9.50347e-08g
60, 1.04491e-24, 51, 7.1276e-08g
60, 9.90961e-26, 52, 5.3457e-08g
60, 8.98171e-27, 53, 4.00928e-08g
60, 7.78015e-28, 54, 3.00696e-08g
60, 6.44085e-29, 55, 2.25522e-08g
60, 5.09595e-30, 56, 1.69141e-08g
60, 3.85331e-31, 57, 1.26856e-08g
60, 2.78463e-32, 58, 9.5142e-09g
60, 1.92322e-33, 59, 7.13565e-09g
60, 1.26945e-34, 60, 5.35174e-09g
60, 8.00813e-36, 61, 4.0138e-09g
60, 4.82805e-37, 62, 3.01035e-09g
60, 2.78188e-38, 63, 2.25777e-09g
60, 1.53191e-39, 64, 1.69332e-09g
60, 8.06223e-41, 65, 1.26999e-09g
60, 4.05536e-42, 66, 9.52495e-10g
60, 1.9478e-43, 67, 7.14371e-10g
60, 8.40779e-45, 68, 5.35778e-10g
8.08376e+08, 0.439062, 69, 8.37153e-10g
2.27616e+07, 0.0184237, 70, 1.30805e-09g
612517, 0.000738851, 71, 2.04383e-09g
15808.4, 2.83179e-05, 72, 3.19349e-09g
446.979, 1.03727e-06, 73, 4.98982e-09g
69.0872, 3.63121e-08, 74, 3.74237e-09g
60.4248, 1.21489e-09, 75, 2.80678e-09g
60.019, 3.8846e-11, 76, 2.10508e-09g
60.0008, 1.18709e-12, 77, 1.57881e-09g
60, 3.46695e-14, 78, 1.18411e-09g
60, 9.67694e-16, 79, 8.88081e-10g
60, 2.5814e-17, 80, 6.66061e-10g
60, 6.5811e-19, 81, 4.99546e-10g
60, 1.6035e-20, 82, 3.74659e-10g
60, 3.73391e-22, 83, 2.80995e-10g
60, 8.30973e-24, 84, 2.10746e-10g
60, 1.76741e-25, 85, 1.58059e-10g
2.80775e+09, 0.203271, 86, 2.46968e-10g
3.65607e+07, 0.00394891, 87, 3.85887e-10g
455023, 7.33173e-05, 88, 6.02949e-10g
5470.64, 1.30095e-06, 89, 9.42108e-10g
121.494, 2.20619e-08, 90, 1.17763e-09g
60.8349, 3.57561e-10, 91, 8.83226e-10g
60.0181, 5.5384e-12, 92, 6.62419e-10g
60.0004, 8.1987e-14, 93, 4.96815e-10g
60, 1.15993e-15, 94, 3.72611e-10g
60, 1.56836e-17, 95, 2.79458e-10g
60, 2.02668e-19, 96, 2.09594e-10g
60, 2.50295e-21, 97, 1.57195e-10g
60, 2.95424e-23, 98, 1.17896e-10g
60, 3.33247e-25, 99, 8.84223e-11g
60, 3.59263e-27, 100, 6.63167e-11g
60, 3.70156e-29, 101, 4.97375e-11g
60, 3.64488e-31, 102, 3.73032e-11g
60, 3.43012e-33, 103, 2.79774e-11g
60, 3.08504e-35, 104, 2.0983e-11g
60, 2.65179e-37, 105, 1.57373e-11g
60, 2.17843e-39, 106, 1.1803e-11g
60, 1.71028e-41, 107, 8.85222e-12g
60, 1.28919e-43, 108, 6.63916e-12g
60, 1.4013e-45, 109, 4.97937e-12g
60, 0, 110, 3.73453e-12g
60, 0, 111, 2.8009e-12g
60, 0, 112, 2.10067e-12g
6.43065e+11, 0.179478, 113, 3.2823e-12g
2.46287e+09, 0.00102619, 114, 5.12859e-12g
9.01469e+06, 5.60752e-06, 115, 8.01343e-12g
